Everybody matched with top 8 preferences:
m651: matched to w133 (rank 2)
m652: matched to w513 (rank 3)
m653: matched to w532 (rank 1)
m654: matched to w696 (rank 1)
m655: matched to w607 (rank 1)
m656: matched to w631 (rank 2)
m657: matched to w400 (rank 6)
m658: matched to w525 (rank 1)
m659: matched to w224 (rank 3)
m660: matched to w247 (rank 1)
m661: matched to w805 (rank 1)
m662: matched to w105 (rank 3)
m663: matched to w907 (rank 4)
m664: matched to w791 (rank 3)
m665: matched to w428 (rank 3)
m666: matched to w295 (rank 2)
m667: matched to w935 (rank 4)
m668: matched to w354 (rank 3)
m669: matched to w943 (rank 1)
m670: matched to w759 (rank 1)
m671: matched to w901 (rank 3)
m672: matched to w715 (rank 5)
m673: matched to w290 (rank 1)
m674: matched to w79 (rank 4)
m675: matched to w889 (rank 2)
m676: matched to w302 (rank 4)
m677: matched to w962 (rank 4)
m678: matched to w141 (rank 1)
m679: matched to w965 (rank 3)
m680: matched to w127 (rank 2)
m681: matched to w586 (rank 1)
m682: matched to w201 (rank 1)
m683: matched to w636 (rank 5)
m684: matched to w509 (rank 3)
m685: matched to w807 (rank 1)
m686: matched to w808 (rank 3)
m687: matched to w529 (rank 3)
m688: matched to w934 (rank 1)
m689: matched to w556 (rank 3)
m690: matched to w725 (rank 1)
m691: matched to w366 (rank 3)
m692: matched to w336 (rank 2)
m693: matched to w987 (rank 2)
m694: matched to w702 (rank 2)
m695: matched to w855 (rank 1)
m696: matched to w119 (rank 1)
m697: matched to w225 (rank 4)
m698: matched to w100 (rank 2)
m699: matched to w573 (rank 1)
m700: matched to w107 (rank 5)
m701: matched to w760 (rank 1)
m702: matched to w594 (rank 5)
m703: matched to w568 (rank 4)
m704: matched to w677 (rank 3)
m705: matched to w304 (rank 2)
m706: matched to w948 (rank 3)
m707: matched to w971 (rank 1)
m708: matched to w268 (rank 1)
m709: matched to w683 (rank 1)
m710: matched to w416 (rank 2)
m711: matched to w458 (rank 1)
m712: matched to w716 (rank 1)
m713: matched to w896 (rank 1)
m714: matched to w628 (rank 1)
m715: matched to w98 (rank 2)
m716: matched to w248 (rank 1)
m717: matched to w292 (rank 4)
m718: matched to w666 (rank 2)
m719: matched to w448 (rank 1)
m720: matched to w840 (rank 2)
m721: matched to w723 (rank 1)
m722: matched to w867 (rank 7)
m723: matched to w598 (rank 3)
m724: matched to w226 (rank 1)
m725: matched to w169 (rank 4)
m726: matched to w868 (rank 4)
m727: matched to w231 (rank 1)
m728: matched to w916 (rank 2)
m729: matched to w777 (rank 5)
m730: matched to w138 (rank 3)
m731: matched to w223 (rank 1)
m732: matched to w567 (rank 1)
m733: matched to w241 (rank 2)
m734: matched to w59 (rank 2)
m735: matched to w382 (rank 2)
m736: matched to w420 (rank 4)
m737: matched to w391 (rank 1)
m738: matched to w273 (rank 1)
m739: matched to w923 (rank 2)
m740: matched to w329 (rank 2)
m741: matched to w347 (rank 1)
m742: matched to w883 (rank 1)
m743: matched to w470 (rank 2)
m744: matched to w418 (rank 2)
m745: matched to w338 (rank 1)
m746: matched to w527 (rank 1)
m747: matched to w828 (rank 2)
m748: matched to w860 (rank 3)
m749: matched to w264 (rank 3)
m750: matched to w195 (rank 1)
m751: matched to w942 (rank 3)
m752: matched to w497 (rank 2)
m753: matched to w459 (rank 1)
m754: matched to w584 (rank 3)
m755: matched to w189 (rank 1)
m756: matched to w566 (rank 1)
m757: matched to w863 (rank 2)
m758: matched to w33 (rank 2)
m759: matched to w539 (rank 5)
m760: matched to w132 (rank 3)
m761: matched to w457 (rank 2)
m762: matched to w345 (rank 2)
m763: matched to w772 (rank 2)
m764: matched to w952 (rank 1)
m765: matched to w850 (rank 2)
m766: matched to w7 (rank 3)
m767: matched to w953 (rank 1)
m768: matched to w782 (rank 4)
m769: matched to w852 (rank 1)
m770: matched to w937 (rank 2)
m771: matched to w524 (rank 3)
m772: matched to w610 (rank 3)
m773: matched to w991 (rank 3)
m774: matched to w753 (rank 2)
m775: matched to w875 (rank 3)
m776: matched to w647 (rank 1)
m777: matched to w349 (rank 2)
m778: matched to w385 (rank 2)
m779: matched to w478 (rank 1)
m780: matched to w816 (rank 2)
m781: matched to w152 (rank 2)
m782: matched to w710 (rank 1)
m783: matched to w577 (rank 5)
m784: matched to w719 (rank 1)
m785: matched to w222 (rank 1)
m786: matched to w533 (rank 2)
m787: matched to w537 (rank 2)
m788: matched to w55 (rank 4)
m789: matched to w300 (rank 1)
m790: matched to w986 (rank 2)
m791: matched to w843 (rank 3)
m792: matched to w784 (rank 1)
m793: matched to w31 (rank 1)
m794: matched to w940 (rank 2)
m795: matched to w973 (rank 6)
m796: matched to w804 (rank 3)
m797: matched to w926 (rank 4)
m798: matched to w673 (rank 2)
m799: matched to w485 (rank 2)
m800: matched to w75 (rank 2)
m801: matched to w252 (rank 2)
m802: matched to w681 (rank 1)
m803: matched to w583 (rank 1)
m804: matched to w219 (rank 2)
m805: matched to w363 (rank 3)
m806: matched to w793 (rank 3)
m807: matched to w682 (rank 4)
m808: matched to w776 (rank 2)
m809: matched to w321 (rank 1)
m810: matched to w221 (rank 2)
m811: matched to w163 (rank 1)
m812: matched to w406 (rank 4)
m813: matched to w982 (rank 2)
m814: matched to w322 (rank 1)
m815: matched to w890 (rank 1)
m816: matched to w976 (rank 1)
m817: matched to w114 (rank 1)
m818: matched to w480 (rank 1)
m819: matched to w451 (rank 1)
m820: matched to w482 (rank 3)
m821: matched to w914 (rank 5)
m822: matched to w704 (rank 2)
m823: matched to w191 (rank 1)
m824: matched to w158 (rank 4)
m825: matched to w429 (rank 1)
m826: matched to w635 (rank 1)
m827: matched to w439 (rank 2)
m828: matched to w488 (rank 1)
m829: matched to w505 (rank 1)
m830: matched to w980 (rank 2)
m831: matched to w180 (rank 3)
m832: matched to w260 (rank 2)
m833: matched to w348 (rank 3)
m834: matched to w879 (rank 2)
m835: matched to w356 (rank 4)
m836: matched to w833 (rank 1)
m837: matched to w78 (rank 1)
m838: matched to w375 (rank 2)
m839: matched to w688 (rank 1)
m840: matched to w770 (rank 1)
m841: matched to w116 (rank 3)
m842: matched to w372 (rank 4)
m843: matched to w895 (rank 2)
m844: matched to w335 (rank 1)
m845: matched to w955 (rank 1)
m846: matched to w515 (rank 1)
m847: matched to w687 (rank 3)
m848: matched to w43 (rank 1)
m849: matched to w817 (rank 5)
m850: matched to w463 (rank 3)
m851: matched to w390 (rank 2)
m852: matched to w734 (rank 1)
m853: matched to w576 (rank 4)
m854: matched to w97 (rank 1)
m855: matched to w84 (rank 1)
m856: matched to w744 (rank 1)
m857: matched to w421 (rank 1)
m858: matched to w618 (rank 2)
m859: matched to w547 (rank 1)
m860: matched to w521 (rank 4)
m861: matched to w187 (rank 1)
m862: matched to w115 (rank 1)
m863: matched to w959 (rank 1)
m864: matched to w741 (rank 4)
m865: matched to w379 (rank 3)
m866: matched to w72 (rank 2)
m867: matched to w332 (rank 3)
m868: matched to w389 (rank 3)
